"id_lp_destino","Id_1000","v_destino","id_lp_tipo_destino","id_lp_destino_superior","id_pare_1000","id_lp_continente","v_coordenadas_google","i_zoom","v_coordenadas_mapa","v_link_foro","v_link_evaneos","t_booking","v_fuente","t_palabras_clave"
2,1002,"Nueva York",2,1,1001,1,"40.7143528,-74.0059731",11,"179, 120","http://www.foro.lonelyplanet.es/","NULL","<!--Code to insert-->
<ins class=&#34;bookingaff&#34; data-aid=&#34;1147114&#34; data-target_aid=&#34;1141413&#34; data-prod=&#34;nsb&#34; data-width=&#34;310&#34; data-height=&#34;320&#34; data-dest_type=&#34;city&#34; data-dest_id=&#34;20088325&#34; data-lang=&#34;es&#34; data-label_load=&#39;lpes-sb-nuevayork-es-view&#39; data-label_out=&#39;lpes-sb-nuevayork-es-click&#39;>
<!-- Anything inside will go away once widget is loaded. -->
<a href=&#34;//www.booking.com?aid=1141413&#34;>Booking.com</a>
</ins>
<script type=&#34;text/javascript&#34;>
(function(d, sc, u)
{ var s = d.createElement(sc), p = d.getElementsByTagName(sc)[0]; s.type = &#39;text/javascript&#39;; s.async = true; s.src = u + &#39;?v=&#39; + (+new Date()); p.parentNode.insertBefore(s,p); }
)(document, &#39;script&#39;, &#39;//aff.bstatic.com/static/affiliate_base/js/flexiproduct.js&#39;);
</script>
<!--End of code to insert-->","Estados Unidos 4 (marzo del 2012)","estados unidos, new york, USA, costa este, gran manzana, "
50,1050,"Chicago",2,1,1001,1,"41.8781136,-87.62979819999998",9,"NULL","http://www.foro.lonelyplanet.es/","NULL","NULL","NULL","NULL"
51,1051,"Los Ángeles",2,1,1001,1,"34.0522342,-118.2436849",10,"NULL","http://www.foro.lonelyplanet.es/","NULL","NULL","Estados Unidos 4 (marzo del 2012)","NULL"
52,1052,"Washington",2,1,1001,1,"38.8951118,-77.0363658",11,"NULL","http://www.foro.lonelyplanet.es/","NULL","NULL","Estados Unidos 4 (marzo del 2012)","NULL"
111,1111,"California",3,1,1001,1,"37.491268942545304,-119.97354029999997",4,"NULL","http://www.foro.lonelyplanet.es/","NULL","NULL","Estados Unidos 4 (marzo del 2012)","NULL"
158,1158,"Texas",3,1,1001,1,"31.42866311735861,-99.66796875",4,"NULL","http://www.foro.lonelyplanet.es/","NULL","NULL","Estados Unidos 4 (marzo del 2012)","NULL"
160,1160,"Houston",2,1,1001,1,"29.707139348134145,-95.361328125",3,"NULL","http://www.foro.lonelyplanet.es/","NULL","NULL","Estados Unidos 4(marzo del 2012)","NULL"
161,1161,"San Francisco",2,1,1001,1,"37.71859032558813,-122.40966796875",7,"NULL","http://www.foro.lonelyplanet.es/","NULL","NULL","NULL","Guía de viaje a San Francisco, viajar a San Francisco, Guía para viajar a San Francisco, guía de viaje a Estados Unidos, viajar a Estados Unidos, Guía para viajar a Estados Unidos, viajes América, recomendaciones de viaje, lonely planet"
5,1005,"Lisboa",2,3,1003,3,"38.7252993,-9.150036399999976",8,"NULL","http://www.foro.lonelyplanet.es/","NULL","NULL","NULL","Guía de viaje a Lisboa, viajar a Lisboa, Guía para viajar a Lisboa, guía de viaje a Portugal, viajar a Portugal, Guía para viajar a Portugal, viajes Europa, recomendaciones de viaje, lonely planet"
181,1181,"Madeira",3,3,1003,3,"32.76070740000001,-16.959472300000016",6,"NULL","http://www.foro.lonelyplanet.es/","NULL","NULL","NULL","Guía de viaje a Madeira, viajar a Madeira, Guía para viajar a Madeira, guía de viaje a Portugal, viajar a Portugal, Guía para viajar a Portugal, viajes Europa, recomendaciones de viaje, lonely planet"
182,1182,"Algarve",3,3,1003,3,"37.0179538,-7.930834000000004",6,"NULL","http://www.foro.lonelyplanet.es/","NULL","NULL","NULL","Guía de viaje a Algarve, viajar a Algarve, Guía para viajar a Algarve, guía de viaje a Portugal, viajar a Portugal, Guía para viajar a Portugal, viajes Europa, recomendaciones de viaje, lonely planet"
183,1183,"Oporto",2,3,1003,3,"41.1579438,-8.629105299999992",8,"NULL","http://www.foro.lonelyplanet.es/","NULL","NULL","NULL","Guía de viaje a Oporto, viajar a Oporto, Guía para viajar a Oporto, guía de viaje a Portugal, viajar a Portugal, Guía para viajar a Portugal, viajes Europa, recomendaciones de viaje, lonely planet"
13,1013,"Buenos Aires",2,7,1007,2,"-34.6037232,-58.38159310000003",9,"NULL","http://www.foro.lonelyplanet.es/","NULL","NULL","Sudamérica 2 (agosto del 2013)","NULL"
9,1009,"Berlín",2,8,1008,3,"52.519171,13.406091199999992",5,"NULL","http://www.foro.lonelyplanet.es/","NULL","NULL","NULL","Guía de viaje a Berlín, viajar a Berlín, Guía para viajar a Berlín, guía de viaje a Alemania, viajar a Alemania, Guía para viajar a Alemania, viajes Europa, recomendaciones de viaje, lonely planet"
15,1015,"Bruselas",2,14,1014,3,"50.8503396,4.351710300000036",12,"NULL","http://www.foro.lonelyplanet.es/","NULL","NULL","Bélgica y Luxemburgo 1 (junio del 2010)","NULL"
16,1016,"Brujas",2,14,1014,3,"51.2108365,3.2248692000000574",12,"NULL","http://www.foro.lonelyplanet.es/","NULL","<!--Code to insert-->
<ins class=&#34;bookingaff&#34; data-aid=&#34;1147114&#34; data-target_aid=&#34;1141413&#34; data-prod=&#34;nsb&#34; data-width=&#34;310&#34; data-height=&#34;320&#34; data-dest_type=&#34;city&#34; data-dest_id=&#34;-1955473&#34; data-lang=&#34;es&#34; data-label_load=&#39;lpes-sb-brujas-es-view&#39; data-label_out=&#39;lpes-sb-brujas-es-click&#39;>
<!-- Anything inside will go away once widget is loaded. -->
<a href=&#34;//www.booking.com?aid=1141413&#34;>Booking.com</a>
</ins>
<script type=&#34;text/javascript&#34;>
(function(d, sc, u)
{ var s = d.createElement(sc), p = d.getElementsByTagName(sc)[0]; s.type = &#39;text/javascript&#39;; s.async = true; s.src = u + &#39;?v=&#39; + (+new Date()); p.parentNode.insertBefore(s,p); }
)(document, &#39;script&#39;, &#39;//aff.bstatic.com/static/affiliate_base/js/flexiproduct.js&#39;);
</script>
<!--End of code to insert-->","Bélgica y Luxemburgo 1 (junio del 2010)","NULL"
17,1017,"Amberes",2,14,1014,3,"51.21921589999999,4.402881799999932",11,"NULL","http://www.foro.lonelyplanet.es/","NULL","NULL","Bélgica y Luxemburgo 1 (junio del 2010)","NULL"
18,1018,"Gante",2,14,1014,3,"51.053468,3.7303799999999683",11,"NULL","http://www.foro.lonelyplanet.es/","NULL","NULL","Bélgica y Luxemburgo 1 (junio del 2010)","NULL"
27,1027,"Dubái",2,26,1026,4,"25.271139,55.30748500000004",7,"NULL","http://www.foro.lonelyplanet.es/","http://www.evaneos.es/dubai","NULL","NULL","Guía de viaje a Dubái, viajar a Dubái, Guía para viajar a Dubái, guía de viaje a Emiratos Árabes Unidos, viajar a Émiratos Árabes Unidos, Guía para viajar a Émiratos Árabes Unidos, guía para viajar a EAU, viajes Asia, recomendaciones de viaje, lonely planet"
33,1033,"Dublín",2,32,1032,3,"53.3494426,-6.260082499999953",11,"NULL","http://www.foro.lonelyplanet.es/","NULL","NULL","NULL","lonely planet, viajar a dublin, ir a dublin, viajar a irlanda, guía de viaje a irlanda, qué hacer en dublin, viajes europa"
40,1040,"Viena",2,39,1039,3,"48.2081743,16.37381890000006",11,"NULL","http://www.foro.lonelyplanet.es/","NULL","NULL","Austria 3 (mayo del 2011)","NULL"
155,1155,"Vancouver",2,41,1041,1,"49.210420445650286,-123.0908203125","NULL","NULL","http://www.foro.lonelyplanet.es/","NULL","NULL","Canadá 3 (marzo del 2011)","NULL"
43,1043,"Hong Kong",2,42,1042,4,"22.396428,114.10949700000003",9,"NULL","http://www.foro.lonelyplanet.es/","NULL","NULL","China 4 (mayo del 2011)","NULL"
146,1146,"Shanghái",2,42,1042,4,"31.230416,121.473701",6,"NULL","http://www.foro.lonelyplanet.es/","NULL","NULL","NULL","Guía de viaje a Shanghái, viajar a shanghái, Guía para viajar a Shanghái, guía de viaje a China, viajar a China, Guía para viajar a China, viajes Asia, recomendaciones de viaje, lonely planet"
147,1147,"Beijing",2,42,1042,4,"39.8928799002948,116.43310546875",1,"NULL","http://www.foro.lonelyplanet.es/","NULL","NULL","China 4 (mayo del 2011)","NULL"
47,1047,"Copenhague",2,46,1046,3,"55.6760968,12.568337100000008",11,"NULL","http://www.foro.lonelyplanet.es/","NULL","NULL","Países escandinavos 5 (octubre del 2011)","NULL"
49,1049,"Edimburgo",2,48,1048,3,"55.953252,-3.188266999999996",11,"NULL","http://www.foro.lonelyplanet.es/","NULL","<!--Code to insert-->
<ins class=&#34;bookingaff&#34; data-aid=&#34;1147114&#34; data-target_aid=&#34;1141413&#34; data-prod=&#34;nsb&#34; data-width=&#34;310&#34; data-height=&#34;320&#34; data-dest_type=&#34;city&#34; data-dest_id=&#34;-2595386&#34; data-lang=&#34;es&#34; data-label_load=&#39;lpes-sb-edimburgo-es-view&#39; data-label_out=&#39;lpes-sb-edimburgo-es-click&#39;>
<!-- Anything inside will go away once widget is loaded. -->
<a href=&#34;//www.booking.com?aid=1141413&#34;>Booking.com</a>
</ins>
<script type=&#34;text/javascript&#34;>
(function(d, sc, u)
{ var s = d.createElement(sc), p = d.getElementsByTagName(sc)[0]; s.type = &#39;text/javascript&#39;; s.async = true; s.src = u + &#39;?v=&#39; + (+new Date()); p.parentNode.insertBefore(s,p); }
)(document, &#39;script&#39;, &#39;//aff.bstatic.com/static/affiliate_base/js/flexiproduct.js&#39;);
</script>
<!--End of code to insert-->","Escocia 5 (marzo del 2011)","NULL"
159,1159,"Glasgow",2,48,1048,3,"55.83214387781303,-4.24072265625",7,"NULL","http://www.foro.lonelyplanet.es/","NULL","NULL","Escocia 5 (marzo del 2011)","NULL"
56,1056,"Bretaña",3,55,1055,3,"48.2020471,-2.93264350000004",6,"NULL","http://www.foro.lonelyplanet.es/","NULL","NULL","Francia 5 (marzo del 2011)","NULL"
57,1057,"Córcega",3,55,1055,3,"42.0396042,9.012892599999986",7,"NULL","http://www.foro.lonelyplanet.es/","NULL","<!--Code to insert-->
<ins class=&#34;bookingaff&#34; data-aid=&#34;1147114&#34; data-target_aid=&#34;1141413&#34; data-prod=&#34;nsb&#34; data-width=&#34;310&#34; data-height=&#34;320&#34; data-dest_type=&#34;region&#34; data-dest_id=&#34;1383&#34; data-lang=&#34;es&#34; data-label_load=&#39;lpes-sb-corcega-es-view&#39; data-label_out=&#39;lpes-sb-corcega-es-click&#39;>
<!-- Anything inside will go away once widget is loaded. -->
<a href=&#34;//www.booking.com?aid=1141413&#34;>Booking.com</a>
</ins>
<script type=&#34;text/javascript&#34;>
(function(d, sc, u)
{ var s = d.createElement(sc), p = d.getElementsByTagName(sc)[0]; s.type = &#39;text/javascript&#39;; s.async = true; s.src = u + &#39;?v=&#39; + (+new Date()); p.parentNode.insertBefore(s,p); }
)(document, &#39;script&#39;, &#39;//aff.bstatic.com/static/affiliate_base/js/flexiproduct.js&#39;);
</script>
<!--End of code to insert-->","Córcega 4 (enero del 2010)","Guía de viaje a Córcega, viajar a Córcega, Guía para viajar a Córcega, viaje a Francia, viajar a Francia, ir a Francia, viajes Europa, recomendaciones de viaje, lonely planet"
59,1059,"Languedoc-Rosellón",3,55,1055,3,"43.5912356,3.258362600000055",7,"NULL","NULL","NULL","NULL","Languedoc-Rosellón 1 (marzo del 2009)","Guía de viaje a Languedoc, viajar a Languedoc, Guía para viajar a Languedoc, Guía de viaje a Rosellón, viajar a Rosellón, Guía para viajar a Rosellón, viajar a Francia, viajar por Francia, ir a Francia, viajes Europa, recomendaciones de viaje, lonely planet"
60,1060,"Normandía",3,55,1055,3,"49.182863,-0.37067899999999554",6,"NULL","http://www.foro.lonelyplanet.es/","NULL","NULL","Francia 5 (marzo del 2011)","Guía de viaje a Normandía, viajar a Normandía, Guía para viajar a Normandía, viajar a Francia, viajar por Francia, ir a Francia, viajes Europa, recomendaciones de viaje, lonely planet"
61,1061,"París",2,55,1055,3,"48.856614,2.3522219000000177",12,"312, 119","http://www.foro.lonelyplanet.es/","NULL","<!--Code to insert-->
<ins class=&#34;bookingaff&#34; data-aid=&#34;1147114&#34; data-target_aid=&#34;1141413&#34; data-prod=&#34;nsb&#34; data-width=&#34;310&#34; data-height=&#34;320&#34; data-dest_type=&#34;city&#34; data-dest_id=&#34;-1456928&#34; data-lang=&#34;es&#34; data-label_load=&#39;lpes-sb-paris-es-view&#39; data-label_out=&#39;lpes-sb-paris-es-click&#39;>
<!-- Anything inside will go away once widget is loaded. -->
<a href=&#34;//www.booking.com?aid=1141413&#34;>Booking.com</a>
</ins>
<script type=&#34;text/javascript&#34;>
(function(d, sc, u)
{ var s = d.createElement(sc), p = d.getElementsByTagName(sc)[0]; s.type = &#39;text/javascript&#39;; s.async = true; s.src = u + &#39;?v=&#39; + (+new Date()); p.parentNode.insertBefore(s,p); }
)(document, &#39;script&#39;, &#39;//aff.bstatic.com/static/affiliate_base/js/flexiproduct.js&#39;);
</script>
<!--End of code to insert-->","Francia 5 (marzo del 2011)","Guía de viaje a París, viajar a París, Guía para viajar a París, viajar a Francia, viajar por Francia, ir a Francia, viajes Europa, recomendaciones de viaje, lonely planet"
