ID;Parent_ID;Level_1;Level_2;Level_3;Level_4
1;;Firmenkunden;;;
2;1;Firmenkunden;Konten & Karten;;
3;2;Firmenkunden;Konten & Karten;Paketlösung;
4;3;Firmenkunden;Konten & Karten;Paketlösung;BUSINESSPlus-Paket
5;2;Firmenkunden;Konten & Karten;Firmenkonten;
6;5;Firmenkunden;Konten & Karten;Firmenkonten;Kontokorrent
7;5;Firmenkunden;Konten & Karten;Firmenkonten;Kontokorrent EUR/FW
8;5;Firmenkunden;Konten & Karten;Firmenkonten;Anlage F+I
9;5;Firmenkunden;Konten & Karten;Firmenkonten;Anlagekonto BVG
10;2;Firmenkunden;Konten & Karten;Immobilienkonten;
11;10;Firmenkunden;Konten & Karten;Immobilienkonten;Immobilien Verwaltungskonto
12;10;Firmenkunden;Konten & Karten;Immobilienkonten;Baukonto GU-Konto
13;10;Firmenkunden;Konten & Karten;Immobilienkonten;Mieterkautionskonto
14;2;Firmenkunden;Konten & Karten;Karten;
15;14;Firmenkunden;Konten & Karten;Karten;Maestrokarte
16;14;Firmenkunden;Konten & Karten;Karten;Mastercard
17;1;Firmenkunden;Zahlungsverkehr;;
18;17;Firmenkunden;Zahlungsverkehr;Zahlungsverkehr Firmenkunden;
19;17;Firmenkunden;Zahlungsverkehr;Zahlungssoftware;
20;17;Firmenkunden;Zahlungsverkehr;Zahlungsterminal;
21;17;Firmenkunden;Zahlungsverkehr;E-Banking;
22;17;Firmenkunden;Zahlungsverkehr;CrontoSign Swiss;
23;17;Firmenkunden;Zahlungsverkehr;E-Banking Sicherheit;
24;1;Firmenkunden;Finanzieren;;
25;24;Firmenkunden;Finanzieren;Unternehmensfinanzierung;
26;25;Firmenkunden;Finanzieren;Unternehmensfinanzierung;Finanzierungslösungen
27;25;Firmenkunden;Finanzieren;Unternehmensfinanzierung;Exportfinanzierung
28;25;Firmenkunden;Finanzieren;Unternehmensfinanzierung;Bürgschaft & Garantien
29;24;Firmenkunden;Finanzieren;Immobilienfinanzierung;
30;29;Firmenkunden;Finanzieren;Immobilienfinanzierung;Hypotheken
31;29;Firmenkunden;Finanzieren;Immobilienfinanzierung;Immobilien bewerten
32;29;Firmenkunden;Finanzieren;Immobilienfinanzierung;Immobilien als Investition
33;29;Firmenkunden;Finanzieren;Immobilienfinanzierung;Eigenheim-Index
34;29;Firmenkunden;Finanzieren;Immobilienfinanzierung;Steuern und Immobilien
35;1;Firmenkunden;Absichern & Vorsorgen;;
36;35;Firmenkunden;Absichern & Vorsorgen;Vorsorge Arbeitgeber;
37;35;Firmenkunden;Absichern & Vorsorgen;Vorsorge Privatpersonen;
38;1;Firmenkunden;Firmengründung & -nachfolge;;
39;38;Firmenkunden;Firmengründung & -nachfolge;KMU Initiative;
40;38;Firmenkunden;Firmengründung & -nachfolge;Kapitaleinzahlungskonto;
41;38;Firmenkunden;Firmengründung & -nachfolge;Unternehmernachfolge;
42;;Privatkunden;;;
43;42;Privatkunden;Konten & Karten;;
44;43;Privatkunden;Konten & Karten;Paketlösungen;
45;44;Privatkunden;Konten & Karten;Paketlösungen;KBPlus-Paket
46;44;Privatkunden;Konten & Karten;Paketlösungen;JUGENDPlus-Paket
47;44;Privatkunden;Konten & Karten;Paketlösungen;BILDUNGPlus-Paket
48;43;Privatkunden;Konten & Karten;Privatkonten;
49;48;Privatkunden;Konten & Karten;Privatkonten;Privatkonto CHF
50;48;Privatkunden;Konten & Karten;Privatkonten;Privatkonto EUR
51;48;Privatkunden;Konten & Karten;Privatkonten;Jugendprivatkonto
52;43;Privatkunden;Konten & Karten;Sparkonten;
53;52;Privatkunden;Konten & Karten;Sparkonten;Sparkonto CHF
54;52;Privatkunden;Konten & Karten;Sparkonten;Sparkonto EUR
55;52;Privatkunden;Konten & Karten;Sparkonten;Sparkonto Plus
56;52;Privatkunden;Konten & Karten;Sparkonten;Sparkonto 60
57;52;Privatkunden;Konten & Karten;Sparkonten;Geschenksparkonto
58;52;Privatkunden;Konten & Karten;Sparkonten;Jugendsparkonto
59;43;Privatkunden;Konten & Karten;Karten;
60;59;Privatkunden;Konten & Karten;Karten;Maestrokarte
61;59;Privatkunden;Konten & Karten;Karten;Maestro STUcard
62;59;Privatkunden;Konten & Karten;Karten;Kreditkarte
63;59;Privatkunden;Konten & Karten;Karten;Travel Cash
